No.,Name,Defect item no.,Side plate QR code,Shift,Scan date,Scan time
1,Robert Hughes,62,TG000000-00130203003261623480860,B/Night,2026-03-31,20:14:17
2,Samuel Ross,62,TG000000-00410332002260314000726,B/Night,2026-02-22,19:54:40
3,Daniel Foster,37,TG000000-00470402903260940350088,B/Night,2026-03-30,23:11:26
4,Anthony Powell,69,TG000000-00200201503260702510208,B/Night,2026-03-17,03:51:12
5,Megan Kelly,67,TG000000-00580202302261922200378,B/Night,2026-02-24,22:08:20
6,Zoe Howard,11,TG000000-00280201904260053110003,B/Night,2026-04-20,20:14:17
7,Laura Bennett,10,TG000000-00520201104260615220020,A/Night,2026-04-13,19:54:40
8,Joshua Barnes,6,TG000000-00140341702262246280962,A/Night,2026-02-19,23:11:26
9,Sarah Collins,49,TG000000-00470201303260709090090,A/Night,2026-03-14,3:51:12
10,Christopher Evans,67,TG000000-00010320703260315360490,A/Night,2026-03-08,22:08:20
11,Rachel Simmons,46,TG000000-00280330903260723060020,A/Night,2026-03-10,02:29:35
12,Sarah Collins,18,TG000000-00590332703260914540297,A/Night,2026-03-29,01:36:49
13,Anthony Powell,1,TG000000-00310321402262008130897,A/Night,2026-02-15,20:40:58
14,Ella Roberts,3,TG000000-00250300604260114280174,A/Night,2026-04-08,20:17:09
15,Grace Morgan,57,TG000000-00190342003260022430675,A/Night,2026-03-21,07:24:05
16,Andrew Brooks,55,TG000000-00500401203260014520011,A/Night,2026-03-13,23:35:39
17,Thomas Allen,49,TG000000-00430402103260354570622,A/Night,2026-03-23,00:24:18
18,Victoria Hayes,4,TG000000-00550402702261649390410,A/Night,2026-02-28,22:03:21
19,Jacob Stewart,47,TG000000-00070312803261520220020,A/Night,2026-03-30,04:30:34
20,John Carter,71,TG000000-00450310403262012010458,A/Night,2026-03-06,21:25:19
21,Wendy Timer,63,TG000000-00440202402260129520236,A/Night,2026-02-25,21:18:55
22,Chloe Adams,57,TG000000-00070200302260325560701,A/Night,2026-02-05,01:40:11
23,Lucas Mitchell,32,TG000000-00410332204261013310540,A/Night,2026-04-23,06:37:41
24,Robert Hughes,53,TG000000-00180202903261950390006,A/Night,2026-03-31,07:00:55
25,Daniel Foster,12,TG000000-00420311402262019160442,A/Night,2026-02-16,22:51:34
26,Ava Johnson,24,TG000000-00230301102261313550019,A/Night,2026-02-12,22:29:03
27,Samuel Ross,35,TG000000-00440340704261849010931,A/Night,2026-04-08,21:12:40
28,Rachel Simmons,16,TG000000-00430313101261934580259,A/Night,2026-02-02,04:33:29
29,William Murphy,11,TG000000-00450341903261647110732,A/Night,2026-03-21,00:28:53
30,Anthony Powell,58,TG000000-00070332204260640480605,A/Night,2026-04-23,06:25:22
31,Noah Lewis,17,TG000000-00250343101260842360143,A/Night,2026-02-01,22:30:44
32,Mia Thompson,46,TG000000-00450301602260415590776,A/Night,2026-02-18,21:16:44
33,Emma Richardson,45,TG000000-00490312303261656120231,A/Night,2026-03-25,02:56:54
34,Sarah Collins,5,TG000000-00250300902260249230779,A/Night,2026-02-10,22:05:03
35,Amelia Clark,48,TG000000-00310340902261140360427,A/Night,2026-02-11,20:34:39
36,Emma Richardson,43,TG000000-00380312204260033530984,A/Night,2026-04-23,00:27:29
37,Laura Bennett,40,TG000000-00260330802260234230916,A/Night,2026-02-09,23:05:51
38,Matthew Scott,61,TG000000-00190401002261955550889,A/Night,2026-02-12,03:30:16
39,Joshua Barnes,66,TG000000-00290311502260821320520,A/Night,2026-02-17,22:45:18
40,Emma Richardson,52,TG000000-00490200804261836410198,A/Night,2026-04-09,20:09:39
41,Sarah Collins,8,TG000000-00430342702261846370593,A/Night,2026-02-28,20:09:21
42,Anthony Powell,39,TG000000-00430332204261120320763,A/Night,2026-04-23,06:57:02
43,William Murphy,2,TG000000-00270201202260012310239,A/Night,2026-02-13,20:12:03
44,Lily Phillips,34,TG000000-00360333101261759110220,A/Night,2026-02-02,22:37:48
45,Thomas Allen,71,TG000000-00310312202261726020719,A/Night,2026-02-23,22:42:43
46,Jacob Stewart,69,TG000000-00430302802261110080751,A/Night,2026-03-01,02:32:15
47,Lucas Mitchell,50,TG000000-00160312503261818150198,A/Night,2026-03-26,04:29:37
48,Jacob Stewart,54,TG000000-00220201802261042230345,A/Night,2026-02-19,06:55:33
49,Hannah Cooper,3,TG000000-00190312103260251140675,A/Night,2026-03-22,21:34:14
50,Grace Morgan,31,TG000000-00050200803262337320921,A/Night,2026-03-10,20:04:07
51,Laura Bennett,48,TG000000-00280321003260842010452,A/Night,2026-03-12,20:03:12
52,Robert Hughes,35,TG000000-00040340202261503050270,A/Night,2026-02-04,20:00:20
53,Wendy Timer,68,TG000000-00190201503260749240677,A/Night,2026-03-17,06:30:02
54,Sarah Collins,10,TG000000-00080312202262235370024,A/Night,2026-02-24,00:39:10
55,Ava Johnson,62,TG000000-00430402702261807340010,A/Night,2026-02-28,00:51:32
56,Chloe Adams,42,TG000000-00590340104260924350292,A/Night,2026-04-02,21:57:06
57,Samuel Ross,59,TG000000-00540300504262303430709,A/Night,2026-04-07,23:24:29
